start_Longitude,start_Latitude,end_Longitude,end_Latitude,Speed
-79.36445,43.64886,-79.36417,43.64823,35
-79.37641,43.64875,-79.37631,43.6487,50
-79.36417,43.64823,-79.3644,43.64818,35
-79.36972,43.64848,-79.36956,43.64808,35
-79.40829,43.64807,-79.40708,43.64832,50
-79.40459,43.64872,-79.40429,43.64804,40
-79.3866,43.64863,-79.38634,43.64799,50
-79.37092,43.64822,-79.37115,43.64816,50
-79.37215,43.64905,-79.3717,43.64802,50
-79.37603,43.64811,-79.37733,43.64785,40
-79.39633,43.64834,-79.39614,43.64787,40
-79.37092,43.64822,-79.37079,43.64784,40
-79.39051,43.64845,-79.39025,43.64783,50
-79.40585,43.64857,-79.40555,43.64781,50
-79.40429,43.64804,-79.40414,43.64767,40
-79.37079,43.64784,-79.37154,43.64767,35
-79.40201,43.64761,-79.40144,43.64772,40
-79.38863,43.64817,-79.3884,43.64756,50
-79.38608,43.64739,-79.38544,43.64752,40
-79.39283,43.64731,-79.39219,43.64744,40
-79.3728,43.64749,-79.37328,43.64726,50
-79.39025,43.64783,-79.38999,43.6472,50
-79.40127,43.64733,-79.40112,43.64698,50
-79.37575,43.64746,-79.3755,43.6469,50
-79.39283,43.64731,-79.39265,43.64689,50
-79.3837,43.64694,-79.38354,43.6465,35
-79.3755,43.6469,-79.37526,43.64633,50
-79.38408,43.64638,-79.38399,43.64622,40
-79.39568,43.64671,-79.39546,43.64617,40
-79.38608,43.64739,-79.38554,43.64607,50
-79.39362,43.64575,-79.39231,43.64604,40
-79.40367,43.64646,-79.40334,43.6455,40
-79.38949,43.64593,-79.38935,43.64558,50
-79.40334,43.6455,-79.40321,43.64519,40
-79.40321,43.64519,-79.40307,43.64486,40
-79.39176,43.64472,-79.39117,43.64484,50
-79.40307,43.64486,-79.40294,43.64454,40
-79.39313,43.64441,-79.39223,43.64461,50
-79.38477,43.64427,-79.38275,43.64471,50
-79.38922,43.6453,-79.38866,43.644,50
-79.3678,43.64434,-79.36897,43.64392,40
-79.40241,43.6432,-79.39977,43.64373,50
-79.39124,43.64341,-79.39107,43.64303,50
-79.38115,43.64209,-79.3811,43.64196,40
-79.37159,43.66182,-79.371,43.66195,35
-79.37143,43.66141,-79.37156,43.66172,50
-79.38809,43.66113,-79.38788,43.66108,50
-79.39491,43.66105,-79.39472,43.66061,50
-79.37473,43.6607,-79.37486,43.66067,40
-79.38209,43.66057,-79.3821,43.66056,50
-79.37959,43.6563,-79.37946,43.65598,50
-79.40377,43.65724,-79.40337,43.65625,50
-79.37887,43.65616,-79.37873,43.65581,50
-79.36979,43.65386,-79.36978,43.65381,50
-79.41206,43.65071,-79.41145,43.65085,35
-79.38989,43.6506,-79.38955,43.65067,50
-79.37418,43.64942,-79.37513,43.64921,35
-79.3661,43.64933,-79.36602,43.64914,35
-79.40659,43.64884,-79.40652,43.64884,35
-79.40908,43.65169,-79.40893,43.65131,35
-79.40363,43.64779,-79.40362,43.64779,35
-79.39952,43.6477,-79.3994,43.64772,50
-79.39799,43.64801,-79.39784,43.64764,50
-79.3717,43.64802,-79.37154,43.64767,35
-79.39952,43.6477,-79.39936,43.64732,50
-79.40376,43.64684,-79.40366,43.64686,50
-79.36487,43.64663,-79.36488,43.64656,40
-79.37,43.64597,-79.36998,43.64592,40
-79.40077,43.64474,-79.40096,43.6447,35
-79.40096,43.6447,-79.40082,43.64429,50
-79.37795,43.64324,-79.37792,43.64318,40
-79.37792,43.64318,-79.3779,43.64313,40
-79.3779,43.64313,-79.3778,43.64292,40
-79.38136,43.64132,-79.38091,43.64154,70
-79.39188,43.64167,-79.39226,43.64156,50
-79.3915,43.64068,-79.39153,43.64075,50
-79.39155,43.6408,-79.39197,43.64081,50
-79.39291,43.64065,-79.39306,43.64062,50
-79.39322,43.64059,-79.39319,43.64049,40
-79.36941,43.64774,-79.36917,43.64714,35
-79.37066,43.65074,-79.37028,43.64984,50
-79.37104,43.65162,-79.37066,43.65074,50
-79.40112,43.64698,-79.40059,43.64573,50
-79.39694,43.66044,-79.39681,43.66013,40
-79.40908,43.65169,-79.40848,43.6518,40
-79.40971,43.65156,-79.40908,43.65169,40
-79.40724,43.64872,-79.40708,43.64832,50
-79.40551,43.64769,-79.40541,43.64742,50
-79.40555,43.64781,-79.40551,43.64769,50
-79.40585,43.64857,-79.40509,43.64873,50
-79.40481,43.65256,-79.40481,43.65254,50
-79.40514,43.65228,-79.4047,43.65208,40
-79.40512,43.65465,-79.40499,43.65468,50
-79.40563,43.65455,-79.40512,43.65465,50
-79.36804,43.65083,-79.3668,43.65109,35
-79.36728,43.64904,-79.36788,43.64889,50
-79.36822,43.65127,-79.36946,43.651,40
-79.36924,43.65385,-79.36937,43.65385,50
-79.36912,43.65339,-79.36963,43.65327,40
-79.3825,43.66137,-79.38275,43.66137,40
-79.36854,43.65352,-79.36883,43.65345,40
-79.39001,43.64046,-79.38999,43.64055,35
-79.38882,43.64037,-79.38884,43.64047,35
-79.3926,43.63901,-79.39258,43.63893,40
-79.37761,43.64241,-79.37746,43.64211,40
-79.36987,43.6457,-79.36983,43.64561,40
-79.37797,43.64328,-79.37795,43.64324,40
-79.37268,43.64535,-79.3729,43.64529,50
-79.36998,43.64592,-79.36995,43.64587,40
-79.36995,43.64587,-79.37002,43.64585,60
-79.37,43.64597,-79.37023,43.64594,70
-79.36619,43.64671,-79.36628,43.64669,60
-79.37304,43.64538,-79.3733,43.64532,50
-79.40092,43.65155,-79.40094,43.6515,35
-79.39975,43.65138,-79.39967,43.65133,35
-79.3992,43.65066,-79.39929,43.65065,35
-79.39908,43.65007,-79.39894,43.6497,35
-79.40564,43.64981,-79.40555,43.64959,35
-79.40523,43.64908,-79.40509,43.64873,35
-79.41278,43.65589,-79.41262,43.65548,50
-79.37905,43.65029,-79.37892,43.64998,35
-79.38137,43.65378,-79.38117,43.65328,35
-79.38072,43.65755,-79.38137,43.65741,35
-79.40674,43.64881,-79.40659,43.64884,35
-79.39885,43.64946,-79.39883,43.6494,35
-79.3847,43.65808,-79.38343,43.65835,35
-79.37462,43.65046,-79.37515,43.65036,50
-79.40092,43.65155,-79.40087,43.65156,35
-79.40601,43.64899,-79.40599,43.64894,50
-79.40433,43.65671,-79.40398,43.65583,50
-79.40449,43.6571,-79.40433,43.65671,50
-79.38548,43.65613,-79.38531,43.65575,50
-79.38531,43.65575,-79.38519,43.65543,50
-79.38514,43.6468,-79.38489,43.64621,50
-79.40496,43.66294,-79.4048,43.66252,50
-79.39005,43.64581,-79.38997,43.64583,50
-79.38144,43.65923,-79.38089,43.6579,35
-79.40997,43.65552,-79.40987,43.65527,35
-79.39046,43.65483,-79.39032,43.65449,50
-79.40463,43.64881,-79.40459,43.64872,40
-79.41665,43.65509,-79.41567,43.65496,40
-79.37101,43.65832,-79.37114,43.65831,40
-79.37224,43.6513,-79.3719,43.65046,40
-79.37935,43.66184,-79.3791,43.66126,40
-79.38638,43.65818,-79.38567,43.65834,40
-79.39036,43.65921,-79.39011,43.65864,50
-79.36905,43.65013,-79.37012,43.64988,40
-79.37385,43.64861,-79.37376,43.64841,40
-79.37877,43.65432,-79.37935,43.65421,40
-79.36694,43.65649,-79.36706,43.65645,40
-79.36567,43.6568,-79.36594,43.6567,40
-79.38013,43.64313,-79.38018,43.64314,35
-79.38433,43.64842,-79.38382,43.64854,50
-79.38518,43.64824,-79.38433,43.64842,50
-79.41438,43.65715,-79.4146,43.6571,35
-79.40976,43.6553,-79.40987,43.65527,35
-79.40404,43.65678,-79.40433,43.65671,35
-79.40263,43.65835,-79.40265,43.65834,35
-79.38531,43.65575,-79.38507,43.6558,35
-79.37028,43.64984,-79.37012,43.64945,50
-79.39203,43.65576,-79.39161,43.65589,50
-79.39925,43.64247,-79.39915,43.6422,50
-79.399,43.64184,-79.39892,43.64166,50
-79.40114,43.64927,-79.40091,43.6487,50
-79.40167,43.64916,-79.40114,43.64927,35
-79.40172,43.64928,-79.40167,43.64916,35
-79.4007,43.65237,-79.40059,43.65206,35
-79.40264,43.6597,-79.4025,43.6593,50
-79.40708,43.64832,-79.40585,43.64857,50
-79.36651,43.65886,-79.36655,43.65885,50
-79.36778,43.65859,-79.368,43.65854,50
-79.36598,43.65943,-79.36581,43.65901,40
-79.36995,43.65442,-79.36981,43.65394,50
-79.36941,43.65453,-79.36995,43.65442,40
-79.37668,43.65696,-79.37654,43.65664,50
-79.37579,43.65716,-79.37668,43.65696,35
-79.37579,43.65716,-79.37565,43.65683,50
-79.39406,43.64269,-79.39388,43.64224,40
-79.38208,43.64442,-79.38203,43.64429,40
-79.37878,43.64513,-79.37876,43.64507,40
-79.38203,43.64429,-79.382,43.64422,40
-79.382,43.64422,-79.38198,43.64416,40
-79.37867,43.64486,-79.37864,43.64478,40
-79.38227,43.64482,-79.38212,43.64452,40
-79.38211,43.64449,-79.38208,43.64442,40
-79.38212,43.64452,-79.38211,43.6445,40
-79.3788,43.64519,-79.37878,43.64513,40
-79.37882,43.64523,-79.3788,43.64519,40
-79.37864,43.64478,-79.37861,43.64473,40
-79.38181,43.64375,-79.38177,43.64367,40
-79.37852,43.64451,-79.37848,43.64445,40
-79.38186,43.64387,-79.38181,43.64375,40
-79.38189,43.64394,-79.38186,43.64387,40
-79.37858,43.64465,-79.37855,43.64458,40
-79.37861,43.64473,-79.37858,43.64465,40
-79.38177,43.64367,-79.38175,43.64363,40
-79.37848,43.64445,-79.37845,43.6444,40
-79.36643,43.64713,-79.36642,43.64708,40
-79.37021,43.64647,-79.3702,43.64643,40
-79.37017,43.64637,-79.37015,43.64633,40
-79.3702,43.64643,-79.37017,43.64637,40
-79.3901,43.65926,-79.39023,43.65924,50
-79.38968,43.65826,-79.38979,43.65824,50
-79.38964,43.65754,-79.38951,43.65757,40
-79.38898,43.65633,-79.38885,43.65636,40
-79.3891,43.65631,-79.38898,43.65633,40
-79.38875,43.65543,-79.38859,43.65547,40
-79.3883,43.65482,-79.38816,43.65483,40
-79.38849,43.65481,-79.3883,43.65482,40
-79.38757,43.65312,-79.38767,43.6531,40
-79.38743,43.65315,-79.38757,43.65312,40
-79.38712,43.65239,-79.38725,43.65234,40
-79.3855,43.64887,-79.38542,43.64889,50
-79.38482,43.64767,-79.38473,43.64769,40
-79.38342,43.64596,-79.38278,43.64611,35
-79.37915,43.6461,-79.37912,43.64602,40
-79.37878,43.64895,-79.37823,43.64907,40
-79.37939,43.6509,-79.37925,43.65093,50
-79.38236,43.65856,-79.3823,43.65857,35
-79.41558,43.65495,-79.41551,43.65495,40
-79.41567,43.65496,-79.41558,43.65495,40
-79.40466,43.64888,-79.40463,43.64881,40
-79.40469,43.64896,-79.40466,43.64888,40
-79.40469,43.64896,-79.40458,43.64899,50
-79.39951,43.65069,-79.39958,43.65056,35
-79.39933,43.65583,-79.39921,43.65585,40
-79.39782,43.65193,-79.39779,43.65186,40
-79.39794,43.65224,-79.39782,43.65193,40
-79.39864,43.65439,-79.39854,43.65442,40
-79.39873,43.65437,-79.39864,43.65439,40
-79.39817,43.65291,-79.39809,43.65293,40
-79.39648,43.64872,-79.39638,43.64875,40
-79.39568,43.64671,-79.39557,43.64673,40
-79.39515,43.64543,-79.39504,43.64545,40
-79.39406,43.64269,-79.39393,43.64273,40
-79.37526,43.64633,-79.37546,43.64624,50
-79.38953,43.65266,-79.38935,43.65218,50
-79.38412,43.65672,-79.384,43.65644,40
-79.37376,43.64841,-79.37352,43.64782,50
-79.36951,43.6548,-79.36941,43.65453,40
-79.36629,43.65663,-79.36641,43.6566,40
-79.36499,43.65697,-79.36534,43.65689,40
-79.40154,43.66129,-79.40142,43.66132,40
-79.37954,43.66181,-79.38025,43.66165,40
-79.37935,43.66184,-79.37954,43.66181,40
-79.36717,43.65872,-79.36753,43.65864,50
-79.41665,43.65509,-79.41666,43.655,50
-79.41551,43.65495,-79.41552,43.65492,50
-79.41262,43.65548,-79.41252,43.65527,30
-79.41129,43.65549,-79.41122,43.65534,30
-79.41138,43.65572,-79.41129,43.65549,30
-79.41005,43.65569,-79.40997,43.65552,35
-79.41015,43.65599,-79.41005,43.65569,35
-79.40883,43.65596,-79.40875,43.65577,50
-79.40894,43.65624,-79.40889,43.6561,50
-79.40622,43.65226,-79.40603,43.65231,40
-79.40486,43.64877,-79.40463,43.64881,50
-79.40509,43.64873,-79.40486,43.64877,50
-79.40453,43.64802,-79.40443,43.64804,50
-79.40555,43.64781,-79.40467,43.648,50
-79.40442,43.64762,-79.40414,43.64767,50
-79.40541,43.64742,-79.40442,43.64762,50
-79.40291,43.64387,-79.40269,43.64392,40
-79.40327,43.64482,-79.40307,43.64486,50
-79.40394,43.64641,-79.40367,43.64646,50
-79.40416,43.64717,-79.40397,43.64721,40
-79.40524,43.64695,-79.40416,43.64717,40
-79.40651,43.65682,-79.40647,43.65671,50
-79.40584,43.6569,-79.40582,43.65685,50
-79.4065,43.65854,-79.40615,43.65767,50
-79.40522,43.65709,-79.40517,43.65698,50
-79.40536,43.65741,-79.40522,43.65709,50
-79.40411,43.65735,-79.40405,43.65718,50
-79.40284,43.65755,-79.40279,43.65743,50
-79.39825,43.65843,-79.39818,43.65828,50
-79.40414,43.64767,-79.40405,43.64744,40
-79.39745,43.64862,-79.39741,43.64854,35
-79.39651,43.64878,-79.39648,43.64872,40
-79.3884,43.64756,-79.3882,43.6471,50
-79.37853,43.64455,-79.37852,43.64451,40
-79.37855,43.64458,-79.37853,43.64455,40
-79.37546,43.64624,-79.37588,43.64605,50
-79.39357,43.64977,-79.39347,43.64949,35
-79.39126,43.65031,-79.39117,43.65006,50
-79.38989,43.6506,-79.38976,43.65027,50
-79.38987,43.65623,-79.3893,43.65628,50
-79.38867,43.65479,-79.38849,43.65481,40
-79.38922,43.65468,-79.38867,43.65479,40
-79.38683,43.65093,-79.38678,43.6508,40
-79.38207,43.65197,-79.382,43.65195,40
-79.38234,43.65219,-79.38229,43.65211,40
-79.38878,43.64852,-79.38863,43.64817,50
-79.3889,43.6488,-79.38878,43.64852,50
-79.39025,43.64783,-79.39001,43.64789,40
-79.37943,43.65238,-79.37925,43.65242,40
-79.37899,43.65098,-79.37869,43.65105,50
-79.37925,43.65093,-79.37899,43.65098,50
-79.37875,43.65036,-79.37843,43.65043,50
-79.38144,43.65623,-79.38116,43.65629,40
-79.37819,43.65294,-79.37809,43.65267,50
-79.37581,43.65335,-79.37574,43.65317,40
-79.37585,43.65494,-79.37578,43.65477,50
-79.3756,43.64941,-79.37547,43.64905,50
-79.37569,43.64963,-79.3756,43.64941,50
-79.37423,43.64955,-79.37418,43.64942,40
-79.37439,43.64992,-79.37423,43.64955,40
-79.3741,43.65716,-79.37454,43.65706,40
-79.37347,43.6573,-79.3741,43.65716,40
-79.37284,43.6538,-79.37323,43.65372,40
-79.37246,43.65266,-79.37256,43.65267,40
-79.37064,43.64827,-79.37092,43.64822,50
-79.39619,43.65884,-79.39614,43.65879,40
-79.38593,43.66097,-79.38588,43.66082,40
-79.38635,43.66247,-79.3863,43.66248,50
-79.3823,43.65857,-79.38217,43.6586,35
-79.38252,43.66151,-79.38272,43.66216,35
-79.3794,43.662,-79.37935,43.66184,40
-79.37805,43.66227,-79.378,43.66216,50
-79.37673,43.6625,-79.37669,43.66243,40
-79.37648,43.66247,-79.37669,43.66243,50
-79.37616,43.66252,-79.37632,43.6625,50
-79.37548,43.6605,-79.37585,43.66039,40
-79.40128,43.64961,-79.40114,43.64927,50
-79.40131,43.64968,-79.40128,43.64961,50
-79.39927,43.64597,-79.39895,43.64604,40
-79.3996,43.64591,-79.39927,43.64597,40
-79.39844,43.64847,-79.39842,43.64843,35
-79.39969,43.64814,-79.39967,43.64808,50
-79.40402,43.64733,-79.40397,43.64721,40
-79.40405,43.64744,-79.40402,43.64733,40
-79.39739,43.65086,-79.39724,43.65048,40
-79.40397,43.64721,-79.40395,43.64717,40
-79.39967,43.64808,-79.39961,43.64793,50
-79.39815,43.64839,-79.39809,43.64824,50
-79.39853,43.65165,-79.39856,43.65162,35
-79.39655,43.64944,-79.3964,43.64947,35
-79.39654,43.64886,-79.39651,43.64878,40
-79.39588,43.64666,-79.39568,43.64671,40
-79.39472,43.64398,-79.39454,43.64401,50
-79.3968,43.65009,-79.39623,43.65019,35
-79.39513,43.65043,-79.39497,43.65046,35
-79.38745,43.65065,-79.38743,43.65062,50
-79.39546,43.64675,-79.39529,43.64678,40
-79.39508,43.64626,-79.39489,43.64631,50
-79.39523,43.64623,-79.39508,43.64626,50
-79.39366,43.64584,-79.39362,43.64575,50
-79.3882,43.6471,-79.38818,43.64705,50
-79.38634,43.64799,-79.38616,43.64759,50
-79.39439,43.64445,-79.3945,43.64442,50
-79.38973,43.6466,-79.38967,43.64645,50
-79.39405,43.64362,-79.39417,43.6436,35
-79.39344,43.64942,-79.39343,43.64938,35
-79.39347,43.64949,-79.39344,43.64942,35
-79.39113,43.64996,-79.39109,43.64987,50
-79.39117,43.65006,-79.39113,43.64996,50
-79.38974,43.65021,-79.38973,43.65016,50
-79.38976,43.65027,-79.38974,43.65021,50
-79.38864,43.65046,-79.38862,43.65041,50
-79.38876,43.65076,-79.38866,43.65052,50
-79.39378,43.64277,-79.39367,43.6428,40
-79.39069,43.65043,-79.39043,43.65049,50
-79.39063,43.65095,-79.39043,43.65049,35
-79.39082,43.65137,-79.39063,43.65095,35
-79.3886,43.64684,-79.38814,43.64694,40
-79.38629,43.6445,-79.38578,43.64461,40
-79.38317,43.64939,-79.38211,43.64961,50
-79.38407,43.64918,-79.38317,43.64939,50
-79.38259,43.64815,-79.38247,43.64817,40
-79.37801,43.64337,-79.37797,43.64328,40
-79.3809,43.64146,-79.38069,43.64098,40
-79.38091,43.64154,-79.3809,43.64146,40
